지점,지점명,일시,기온(°C),습도(%)
90,속초,2020-06-11 01:00,22.6,85
90,속초,2020-06-11 02:00,25.6,66
90,속초,2020-06-11 03:00,22.3,79
90,속초,2020-06-11 04:00,22.4,81
90,속초,2020-06-11 05:00,22.7,79
90,속초,2020-06-11 06:00,22.8,81
90,속초,2020-06-11 07:00,24.1,74
90,속초,2020-06-11 08:00,25.1,69
90,속초,2020-06-11 09:00,26.8,66
90,속초,2020-06-11 10:00,27.8,60
90,속초,2020-06-11 11:00,27.6,63
90,속초,2020-06-11 12:00,29.1,57
90,속초,2020-06-11 13:00,27.6,63
90,속초,2020-06-11 14:00,28.3,62
90,속초,2020-06-11 15:00,25.9,69
90,속초,2020-06-11 16:00,26,69
90,속초,2020-06-11 17:00,25,73
90,속초,2020-06-11 18:00,24.6,73
90,속초,2020-06-11 19:00,23.5,77
90,속초,2020-06-11 20:00,24.7,68
90,속초,2020-06-11 21:00,24,70
90,속초,2020-06-11 22:00,23.4,66
90,속초,2020-06-11 23:00,22.6,64
90,속초,2020-06-12 00:00,22,66
90,속초,2020-06-12 01:00,21.5,65
90,속초,2020-06-12 02:00,20.2,91
90,속초,2020-06-12 03:00,20.1,94
90,속초,2020-06-12 04:00,19.6,94
90,속초,2020-06-12 05:00,19.4,95
90,속초,2020-06-12 06:00,19.7,94
90,속초,2020-06-12 07:00,19.9,94
90,속초,2020-06-12 08:00,20.3,92
90,속초,2020-06-12 09:00,20.8,86
90,속초,2020-06-12 10:00,21.8,83
90,속초,2020-06-12 11:00,21.5,84
90,속초,2020-06-12 12:00,21.2,86
90,속초,2020-06-12 13:00,21.1,86
90,속초,2020-06-12 14:00,21.3,85
90,속초,2020-06-12 15:00,21.2,87
90,속초,2020-06-12 16:00,20.4,89
90,속초,2020-06-12 17:00,20.3,94
90,속초,2020-06-12 18:00,20.1,93
90,속초,2020-06-12 19:00,20.7,92
90,속초,2020-06-12 20:00,21,90
90,속초,2020-06-12 21:00,19.8,94
90,속초,2020-06-12 22:00,20.8,91
90,속초,2020-06-12 23:00,21,86
90,속초,2020-06-13 00:00,20.2,91
90,속초,2020-06-13 01:00,20.2,90
90,속초,2020-06-13 02:00,19.7,94
90,속초,2020-06-13 03:00,19.4,86
90,속초,2020-06-13 04:00,19.3,90
90,속초,2020-06-13 05:00,20.4,74
90,속초,2020-06-13 06:00,19.9,76
90,속초,2020-06-13 07:00,21.6,72
90,속초,2020-06-13 08:00,23,72
90,속초,2020-06-13 09:00,24.9,74
90,속초,2020-06-13 10:00,25.1,70
90,속초,2020-06-13 11:00,24.6,77
90,속초,2020-06-13 12:00,26.9,61
90,속초,2020-06-13 13:00,27,63
90,속초,2020-06-13 14:00,28.1,53
90,속초,2020-06-13 15:00,28.6,53
90,속초,2020-06-13 16:00,26.2,62
90,속초,2020-06-13 17:00,26.3,58
90,속초,2020-06-13 18:00,24.8,66
90,속초,2020-06-13 19:00,22.5,81
90,속초,2020-06-13 20:00,21.8,83
90,속초,2020-06-13 21:00,21.9,81
90,속초,2020-06-13 22:00,21.1,86
90,속초,2020-06-13 23:00,20.7,89
90,속초,2020-06-14 00:00,21.2,89
90,속초,2020-06-14 01:00,21.5,86
90,속초,2020-06-14 02:00,21.8,84
90,속초,2020-06-14 03:00,21,90
90,속초,2020-06-14 04:00,21,90
90,속초,2020-06-14 05:00,21,88
90,속초,2020-06-14 06:00,21,91
90,속초,2020-06-14 07:00,21.6,88
90,속초,2020-06-14 08:00,23,80
90,속초,2020-06-14 09:00,26.2,61
90,속초,2020-06-14 10:00,25.2,64
90,속초,2020-06-14 11:00,24.8,67
90,속초,2020-06-14 12:00,31.4,42
90,속초,2020-06-14 13:00,31,40
90,속초,2020-06-14 14:00,32.5,36
90,속초,2020-06-14 15:00,32.8,37
90,속초,2020-06-14 16:00,32,37
90,속초,2020-06-14 17:00,31.7,37
90,속초,2020-06-14 18:00,31.5,36
90,속초,2020-06-14 19:00,30.1,39
90,속초,2020-06-14 20:00,29.3,40
90,속초,2020-06-14 21:00,28.3,44
90,속초,2020-06-14 22:00,27.5,48
90,속초,2020-06-14 23:00,27,49
90,속초,2020-06-15 00:00,26,50
90,속초,2020-06-15 01:00,25.9,47
90,속초,2020-06-15 02:00,25.6,47
90,속초,2020-06-15 03:00,24.8,49
90,속초,2020-06-15 04:00,24.1,50
90,속초,2020-06-15 05:00,24.2,45
90,속초,2020-06-15 06:00,24.7,45
90,속초,2020-06-15 07:00,27,41
90,속초,2020-06-15 08:00,28.6,36
90,속초,2020-06-15 09:00,29.1,35
90,속초,2020-06-15 10:00,31,32
90,속초,2020-06-15 11:00,30.9,31
90,속초,2020-06-15 12:00,31.9,30
90,속초,2020-06-15 13:00,31.7,31
90,속초,2020-06-15 14:00,32.1,30
90,속초,2020-06-15 15:00,32.5,32
90,속초,2020-06-15 16:00,32.4,32
90,속초,2020-06-15 17:00,31.4,32
90,속초,2020-06-15 18:00,31.4,28
90,속초,2020-06-15 19:00,30,31
90,속초,2020-06-15 20:00,28,32
90,속초,2020-06-15 21:00,27.3,30
90,속초,2020-06-15 22:00,26.4,30
90,속초,2020-06-15 23:00,26.1,33
90,속초,2020-06-16 00:00,25.8,35
90,속초,2020-06-16 01:00,25.5,38
90,속초,2020-06-16 02:00,25.2,39
90,속초,2020-06-16 03:00,23.3,45
90,속초,2020-06-16 04:00,23.2,45
90,속초,2020-06-16 05:00,22.1,48
90,속초,2020-06-16 06:00,21.5,65
90,속초,2020-06-16 07:00,22.2,59
90,속초,2020-06-16 08:00,24.4,48
90,속초,2020-06-16 09:00,25.9,48
90,속초,2020-06-16 10:00,26.3,47
90,속초,2020-06-16 11:00,26.2,53
90,속초,2020-06-16 12:00,26.8,46
90,속초,2020-06-16 13:00,26.5,52
90,속초,2020-06-16 14:00,25.7,58
90,속초,2020-06-16 15:00,26.8,50
90,속초,2020-06-16 16:00,26.1,42
90,속초,2020-06-16 17:00,25,48
90,속초,2020-06-16 18:00,24.2,50
90,속초,2020-06-16 19:00,23.2,59
90,속초,2020-06-16 20:00,21.7,66
90,속초,2020-06-16 21:00,20.8,73
90,속초,2020-06-16 22:00,20.1,77
90,속초,2020-06-16 23:00,19.2,78
90,속초,2020-06-17 00:00,18.8,73
93,북춘천,2020-06-11 01:00,22.3,97
93,북춘천,2020-06-11 02:00,22.2,97
93,북춘천,2020-06-11 03:00,22,97
93,북춘천,2020-06-11 04:00,21.8,98
93,북춘천,2020-06-11 05:00,21.7,98
93,북춘천,2020-06-11 06:00,21.8,98
93,북춘천,2020-06-11 07:00,22.1,98
93,북춘천,2020-06-11 08:00,22.8,95
93,북춘천,2020-06-11 09:00,24.8,84
93,북춘천,2020-06-11 10:00,26.5,73
93,북춘천,2020-06-11 11:00,28,63
93,북춘천,2020-06-11 12:00,30.1,55
93,북춘천,2020-06-11 13:00,30.5,46
93,북춘천,2020-06-11 14:00,31.8,41
93,북춘천,2020-06-11 15:00,31.8,43
93,북춘천,2020-06-11 16:00,32.3,42
93,북춘천,2020-06-11 17:00,32.7,36
93,북춘천,2020-06-11 18:00,31.9,37
93,북춘천,2020-06-11 19:00,30,46
93,북춘천,2020-06-11 20:00,28.5,50
93,북춘천,2020-06-11 21:00,26.3,61
93,북춘천,2020-06-11 22:00,24.3,75
93,북춘천,2020-06-11 23:00,23.8,74
93,북춘천,2020-06-12 00:00,22.5,82
93,북춘천,2020-06-12 01:00,21.5,82
93,북춘천,2020-06-12 02:00,21.1,88
93,북춘천,2020-06-12 03:00,20.3,90
93,북춘천,2020-06-12 04:00,19.4,92
93,북춘천,2020-06-12 05:00,19.1,93
93,북춘천,2020-06-12 06:00,19.3,93
93,북춘천,2020-06-12 07:00,20.3,90
93,북춘천,2020-06-12 08:00,22.6,81
93,북춘천,2020-06-12 09:00,23.9,71
93,북춘천,2020-06-12 10:00,26,66
93,북춘천,2020-06-12 11:00,26.8,60
93,북춘천,2020-06-12 12:00,27.2,60
93,북춘천,2020-06-12 13:00,27.5,60
93,북춘천,2020-06-12 14:00,28.8,45
93,북춘천,2020-06-12 15:00,28.4,46
93,북춘천,2020-06-12 16:00,28.5,48
93,북춘천,2020-06-12 17:00,28.1,45
93,북춘천,2020-06-12 18:00,27.5,51
93,북춘천,2020-06-12 19:00,25.9,63
93,북춘천,2020-06-12 20:00,24.2,70
93,북춘천,2020-06-12 21:00,23.3,75
93,북춘천,2020-06-12 22:00,22.4,80
93,북춘천,2020-06-12 23:00,22.1,83
93,북춘천,2020-06-13 00:00,21.2,90
93,북춘천,2020-06-13 01:00,20.8,90
93,북춘천,2020-06-13 02:00,20.1,93
93,북춘천,2020-06-13 03:00,19.3,95
93,북춘천,2020-06-13 04:00,18.8,96
93,북춘천,2020-06-13 05:00,18.2,96
93,북춘천,2020-06-13 06:00,18.2,97
93,북춘천,2020-06-13 07:00,19.7,93
93,북춘천,2020-06-13 08:00,21.8,84
93,북춘천,2020-06-13 09:00,24.4,70
93,북춘천,2020-06-13 10:00,25.8,63
93,북춘천,2020-06-13 11:00,27.7,51
93,북춘천,2020-06-13 12:00,29.7,40
93,북춘천,2020-06-13 13:00,31.4,33
93,북춘천,2020-06-13 14:00,32.2,31
93,북춘천,2020-06-13 15:00,32.8,25
93,북춘천,2020-06-13 16:00,33.7,25
93,북춘천,2020-06-13 17:00,33.8,26
93,북춘천,2020-06-13 18:00,32.5,30
93,북춘천,2020-06-13 19:00,30.9,39
93,북춘천,2020-06-13 20:00,27.5,53
93,북춘천,2020-06-13 21:00,26.4,57
93,북춘천,2020-06-13 22:00,26,61
93,북춘천,2020-06-13 23:00,25.9,63
93,북춘천,2020-06-14 00:00,25.2,76
93,북춘천,2020-06-14 01:00,25.4,71
93,북춘천,2020-06-14 02:00,24.8,77
93,북춘천,2020-06-14 03:00,23.3,87
93,북춘천,2020-06-14 04:00,22.1,95
93,북춘천,2020-06-14 05:00,21.1,91
93,북춘천,2020-06-14 06:00,20.3,94
93,북춘천,2020-06-14 07:00,21.4,92
93,북춘천,2020-06-14 08:00,22.1,88
93,북춘천,2020-06-14 09:00,23,80
93,북춘천,2020-06-14 10:00,23.7,80
93,북춘천,2020-06-14 11:00,24.8,72
93,북춘천,2020-06-14 12:00,26.3,62
93,북춘천,2020-06-14 13:00,28.5,50
93,북춘천,2020-06-14 14:00,28.8,50
93,북춘천,2020-06-14 15:00,30.2,47
93,북춘천,2020-06-14 16:00,30.1,45
93,북춘천,2020-06-14 17:00,29,48
